category,item,should_import,type
_em_3d_fitting,,N,category
_em_3d_reconstruction,actual_pixel_size,Y,item
_em_3d_reconstruction,algorithm,Y,item
_em_3d_reconstruction,citation_id,Y,item
_em_3d_reconstruction,ctf_correction_method,Y,item
_em_3d_reconstruction,details,Y,item
_em_3d_reconstruction,entry_id,N,item
_em_3d_reconstruction,euler_angles_details,Y,item
_em_3d_reconstruction,fsc_type,Y,item
_em_3d_reconstruction,id,Y,item
_em_3d_reconstruction,image_processing_id,Y,item
_em_3d_reconstruction,magnification_calibration,Y,item
_em_3d_reconstruction,method,Y,item
_em_3d_reconstruction,nominal_pixel_size,Y,item
_em_3d_reconstruction,num_class_averages,Y,item
_em_3d_reconstruction,num_particles,N,item
_em_3d_reconstruction,refinement_type,Y,item
_em_3d_reconstruction,resolution_method,Y,item
_em_3d_reconstruction,resolution,Y,item
_em_3d_reconstruction,software,Y,item
_em_3d_reconstruction,symmetry_type,Y,item
_em_admin,,N,category
_em_buffer,,Y,category
_em_ctf_correction,,Y,category
_em_depui,,N,category
_em_entity_assembly_naturalsource,,Y,category
_em_entity_assembly,,Y,category
_em_euler_angle_assignment,,Y,category
_em_experiment,aggregation_state,Y,item
_em_experiment,entity_assembly_id,Y,item
_em_experiment,entry_id,N,item
_em_experiment,id,Y,item
_em_experiment,reconstruction_method,Y,item
_em_experiment,specimen_type,Y,item
_em_final_classification,,Y,category
_em_image_processing,,Y,category
_em_image_recording,,Y,category
_em_imaging_optics,,Y,category
_em_imaging,accelerating_voltage,Y,item
_em_imaging,alignment_procedure,Y,item
_em_imaging,astigmatism,Y,item
_em_imaging,c2_aperture_diameter,Y,item
_em_imaging,calibrated_defocus_max,Y,item
_em_imaging,calibrated_defocus_min,Y,item
_em_imaging,calibrated_magnification,Y,item
_em_imaging,citation_id,Y,item
_em_imaging,cryogen,Y,item
_em_imaging,date,Y,item
_em_imaging,details,Y,item
_em_imaging,detector_distance,Y,item
_em_imaging,detector_id,Y,item
_em_imaging,electron_beam_tilt_params,Y,item
_em_imaging,electron_dose,Y,item
_em_imaging,electron_source,Y,item
_em_imaging,energy_filter,Y,item
_em_imaging,energy_window,Y,item
_em_imaging,entry_id,N,item
_em_imaging,id,Y,item
_em_imaging,illumination_mode,Y,item
_em_imaging,microscope_id,Y,item
_em_imaging,microscope_model,Y,item
_em_imaging,microscope_serial_number,Y,item
_em_imaging,microscope_version,Y,item
_em_imaging,mode,Y,item
_em_imaging,nominal_cs,Y,item
_em_imaging,nominal_defocus_max,Y,item
_em_imaging,nominal_defocus_min,Y,item
_em_imaging,nominal_magnification,Y,item
_em_imaging,objective_aperture,Y,item
_em_imaging,recording_temperature_maximum,Y,item
_em_imaging,recording_temperature_minimum,Y,item
_em_imaging,residual_tilt,Y,item
_em_imaging,sample_support_id,Y,item
_em_imaging,scans_id,Y,item
_em_imaging,specimen_holder_model,Y,item
_em_imaging,specimen_holder_type,Y,item
_em_imaging,specimen_id,Y,item
_em_imaging,temperature,Y,item
_em_imaging,tilt_angle_max,Y,item
_em_imaging,tilt_angle_min,Y,item
_em_map,,N,category
_em_sample_support,,Y,category
_em_single_particle_entity,entry_id,N,item
_em_single_particle_entity,id,Y,item
_em_single_particle_entity,image_processing_id,Y,item
_em_single_particle_entity,point_symmetry,Y,item
_em_single_particle_entity,symmetry_type,Y,item
_em_software,,Y,category
_em_specimen,,Y,category
_em_support_film,,Y,category
_em_tomography,,Y,category
_em_vitrification,chamber_temperature,Y,item
_em_vitrification,citation_id,Y,item
_em_vitrification,cryogen_name,Y,item
_em_vitrification,details,Y,item
_em_vitrification,entry_id,N,item
_em_vitrification,humidity,Y,item
_em_vitrification,id,Y,item
_em_vitrification,instrument,Y,item
_em_vitrification,method,Y,item
_em_vitrification,sample_preparation_id,Y,item
_em_vitrification,specimen_id,Y,item
_em_vitrification,temp,Y,item
_em_vitrification,time_resolved_state,Y,item
_em_volume_selection,details,Y,item
_em_volume_selection,id,Y,item
_em_volume_selection,image_processing_id,Y,item
_em_volume_selection,method,Y,item
_em_volume_selection,num_tomograms,N,item
_em_volume_selection,num_volumes_extracted,N,item
_em_volume_selection,reference_model,Y,item
