category,item,should_import,type
_pdbx_nmr_assigned_chem_shift_list,id,Y,item
_pdbx_nmr_assigned_chem_shift_list,chem_shift_13C_err,Y,item
_pdbx_nmr_assigned_chem_shift_list,chem_shift_15N_err,Y,item
_pdbx_nmr_assigned_chem_shift_list,chem_shift_19F_err,Y,item
_pdbx_nmr_assigned_chem_shift_list,chem_shift_1H_err,Y,item
_pdbx_nmr_assigned_chem_shift_list,chem_shift_2H_err,Y,item
_pdbx_nmr_assigned_chem_shift_list,chem_shift_31P_err,Y,item
_pdbx_nmr_assigned_chem_shift_list,chem_shift_reference_id,Y,item
_pdbx_nmr_assigned_chem_shift_list,conditions_id,Y,item
_pdbx_nmr_assigned_chem_shift_list,conditions_label,Y,item
_pdbx_nmr_assigned_chem_shift_list,data_file_name,Y,item
_pdbx_nmr_assigned_chem_shift_list,details,Y,item
_pdbx_nmr_assigned_chem_shift_list,error_derivation_method,Y,item
_pdbx_nmr_assigned_chem_shift_list,label,Y,item
_pdbx_nmr_chem_shift_ref,atom_isotope_number,Y,item
_pdbx_nmr_chem_shift_ref,atom_type,Y,item
_pdbx_nmr_chem_shift_ref,chem_shift_reference_id,Y,item
_pdbx_nmr_chem_shift_ref,mol_common_name,Y,item
_pdbx_nmr_chem_shift_ref,atom_group,Y,item
_pdbx_nmr_chem_shift_ref,chem_shift_units,Y,item
_pdbx_nmr_chem_shift_ref,chem_shift_val,Y,item
_pdbx_nmr_chem_shift_ref,correction_val,Y,item
_pdbx_nmr_chem_shift_ref,external_ref_axis,Y,item
_pdbx_nmr_chem_shift_ref,external_ref_loc,Y,item
_pdbx_nmr_chem_shift_ref,external_ref_sample_geometry,Y,item
_pdbx_nmr_chem_shift_ref,indirect_shift_ratio,Y,item
_pdbx_nmr_chem_shift_ref,rank,Y,item
_pdbx_nmr_chem_shift_ref,ref_correction_type,Y,item
_pdbx_nmr_chem_shift_ref,ref_method,Y,item
_pdbx_nmr_chem_shift_ref,ref_type,Y,item
_pdbx_nmr_chem_shift_ref,solvent,Y,item
_pdbx_nmr_chem_shift_reference,id,Y,item
_pdbx_nmr_chem_shift_reference,carbon_shifts_flag,Y,item
_pdbx_nmr_chem_shift_reference,details,Y,item
_pdbx_nmr_chem_shift_reference,label,Y,item
_pdbx_nmr_chem_shift_reference,nitrogen_shifts_flag,Y,item
_pdbx_nmr_chem_shift_reference,other_shifts_flag,Y,item
_pdbx_nmr_chem_shift_reference,phosphorus_shifts_flag,Y,item
_pdbx_nmr_chem_shift_reference,proton_shifts_flag,Y,item
_pdbx_nmr_constraint_file,constraint_filename,Y,item
_pdbx_nmr_constraint_file,constraint_subtype,Y,item
_pdbx_nmr_constraint_file,constraint_type,Y,item
_pdbx_nmr_constraint_file,constraint_number,Y,item
_pdbx_nmr_constraint_file,id,Y,item
_pdbx_nmr_constraint_file,software_name,Y,item
_pdbx_nmr_constraint_file,software_ordinal,Y,item
_pdbx_nmr_ensemble,average_constraint_violations_per_residue,Y,item
_pdbx_nmr_ensemble,average_constraints_per_residue,Y,item
_pdbx_nmr_ensemble,average_distance_constraint_violation,Y,item
_pdbx_nmr_ensemble,average_torsion_angle_constraint_violation,Y,item
_pdbx_nmr_ensemble,conformer_selection_criteria,Y,item
_pdbx_nmr_ensemble,conformers_calculated_total_number,Y,item
_pdbx_nmr_ensemble,conformers_submitted_total_number,Y,item
_pdbx_nmr_ensemble,distance_constraint_violation_method,Y,item
_pdbx_nmr_ensemble,maximum_distance_constraint_violation,Y,item
_pdbx_nmr_ensemble,maximum_lower_distance_constraint_violation,Y,item
_pdbx_nmr_ensemble,maximum_torsion_angle_constraint_violation,Y,item
_pdbx_nmr_ensemble,maximum_upper_distance_constraint_violation,Y,item
_pdbx_nmr_ensemble,representative_conformer,Y,item
_pdbx_nmr_ensemble,torsion_angle_constraint_violation_method,Y,item
_pdbx_nmr_exptl,,Y,category
_pdbx_nmr_exptl_sample,,Y,category
_pdbx_nmr_exptl_sample_conditions,,Y,category
_pdbx_nmr_refine,software_ordinal,Y,item
_pdbx_nmr_refine,details,Y,item
_pdbx_nmr_refine,method,Y,item
_pdbx_nmr_representative,conformer_id,Y,item
_pdbx_nmr_representative,selection_criteria,Y,item
_pdbx_nmr_sample_details,,Y,category
_pdbx_nmr_software,,Y,category
_pdbx_nmr_spectrometer,,Y,category
_pdbx_nmr_systematic_chem_shift_offset,ordinal,Y,item
_pdbx_nmr_systematic_chem_shift_offset,assigned_chem_shift_list_id,Y,item
_pdbx_nmr_systematic_chem_shift_offset,atom_isotope_number,Y,item
_pdbx_nmr_systematic_chem_shift_offset,atom_type,Y,item
_pdbx_nmr_systematic_chem_shift_offset,type,Y,item
_pdbx_nmr_systematic_chem_shift_offset,val,Y,item
_pdbx_nmr_systematic_chem_shift_offset,val_err,Y,item
