category,item,should_import,type
_diffrn,,Y,category
_diffrn_detector,,Y,category
_diffrn_radiation,,Y,category
_diffrn_radiation_wavelength,,Y,category
_diffrn_source,,Y,category
_exptl,absorpt_coefficient_mu,Y,item
_exptl,absorpt_correction_T_max,Y,item
_exptl,absorpt_correction_T_min,Y,item
_exptl,absorpt_correction_type,Y,item
_exptl,absorpt_process_details,Y,item
_exptl,crystals_number,Y,item
_exptl,details,Y,item
_exptl,method_details,Y,item
_exptl_crystal,,Y,category
_exptl_crystal_grow,,Y,category
_pdbx_initial_refinement_model,,Y,category
_software,,Y,category
